INFO  - 2017-01-09 21:26:14.509; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-01-09 21:26:14.534; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Library/apache-solr-4.4.0/example/contexts at interval 0
INFO  - 2017-01-09 21:26:14.540; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Library/apache-solr-4.4.0/example/contexts/solr-jetty-context.xml
INFO  - 2017-01-09 21:26:14.591; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Library/apache-solr-4.4.0/example/webapps/solr.war!/ to /Library/apache-solr-4.4.0/example/solr-webapp/webapp
INFO  - 2017-01-09 21:26:15.668; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-01-09 21:26:15.699; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-01-09 21:26:15.717; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-01-09 21:26:15.717; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-01-09 21:26:15.718; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-01-09 21:26:15.805; org.apache.solr.core.ConfigSolr; Loading container configuration from /Library/apache-solr-4.4.0/example/solr/solr.xml
INFO  - 2017-01-09 21:26:15.910; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Library/apache-solr-4.4.0/example/solr
INFO  - 2017-01-09 21:26:15.911; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in /Library/apache-solr-4.4.0/example/solr/bin
INFO  - 2017-01-09 21:26:15.911; org.apache.solr.core.SolrCoreDiscoverer; Discovered properties file /Library/apache-solr-4.4.0/example/solr/collection1/core.properties, adding to cores
INFO  - 2017-01-09 21:26:15.915; org.apache.solr.core.CoreContainer; New CoreContainer 910342737
INFO  - 2017-01-09 21:26:15.916; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-01-09 21:26:15.929; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-01-09 21:26:15.931; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2017-01-09 21:26:15.931; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
